Model,H1_Acc,H1_MCC,H1_DirAcc,H1_Sharpe,H1_Ret,H2_Acc,H2_MCC,H2_DirAcc,H2_Sharpe,H2_Ret
deep_cycle_arbitrage_optimized_rank2,0.41324921135646686,0.13900928050305916,0.5846477392218717,0.5465549534988634,0.3114189983666833,0.30914826498422715,-0.053355675759275106,0.5152471083070452,0.07229368042932624,-0.004108402718374982
sector_alpha_rotator_optimized_rank2,0.5020242914979757,0.03355283834476736,0.5323886639676113,0.5432088845973208,0.19153166457199533,0.3674089068825911,0.08428848370558806,0.6548582995951417,0.7422925162559963,0.3817977931925094
industrial_sniper_optimized_rank1,0.5717171717171717,0.06805986716078317,0.494949494949495,0.37746659025460616,0.1367496125310499,0.3484848484848485,-0.020155760555425593,0.44747474747474747,0.5892034642830931,0.3051477014039248
deep_cycle_arbitrage_optimized_rank3,0.3901156677181914,0.054269433599167444,0.6077812828601472,0.3648958362237767,0.18451117879672818,0.40063091482649843,-0.019618306348250236,0.6056782334384858,0.47895081603623085,0.27568448661432976
industrial_sniper_optimized_rank2,0.5696969696969697,0.08027050985387746,0.5262626262626262,0.33991278352191745,0.11592224895126879,0.397979797979798,-0.019683511505579922,0.5414141414141415,-0.6088998314205369,-0.29060964686108703
sector_alpha_rotator_optimized_rank3,0.5678137651821862,0.08604227877316753,0.5222672064777328,0.06986181759675288,0.00934760367959453,0.3805668016194332,0.07204335911600183,0.5516194331983806,0.3764416109443925,0.1877431894129975
real_economy_rotator_optimized_rank2,0.49393939393939396,-0.027216965020562325,0.5171717171717172,0.03890910206181108,-0.0015567810099424984,0.2898989898989899,-0.0806192231065437,0.5505050505050505,0.5371833933651239,0.27040022233674543
real_economy_rotator_optimized_rank1,0.5414141414141415,0.025637268949444285,0.5232323232323233,-0.050287813319076405,-0.03559077452680015,0.29494949494949496,-0.059178884716930794,0.5949494949494949,0.3611632469696241,0.1590807385807227
industrial_sniper_optimized_rank3,0.498989898989899,0.04258111134334667,0.5262626262626262,-0.3044772818323696,-0.15023662248133762,0.31414141414141417,-0.03976434256347754,0.5606060606060606,0.3399205759854871,0.16311317824235227
real_economy_rotator_optimized_rank3,0.5888888888888889,0.02548097094053441,0.5141414141414141,-0.33272269784433556,-0.10228804099501299,0.201010101010101,-0.013242832796045349,0.5969696969696969,0.5152394239345603,0.3189687331585822
deep_cycle_arbitrage_optimized_rank1,0.38590956887486855,0.06144827249132971,0.5878023133543638,-0.3569303287668882,-0.2201150063006777,0.3901156677181914,0.022486825308952286,0.5678233438485805,0.08410861520542749,0.001642468354699389
sector_alpha_rotator_optimized_rank1,0.5273279352226721,0.04102106428226103,0.4757085020242915,-0.3723994578953619,-0.15945807503132536,0.2651821862348178,-0.014744950082107229,0.5495951417004049,0.6528804818494858,0.3863957454957574
