Model,H1_Acc,H1_MCC,H1_DirAcc,H1_Sharpe,H1_Ret,H2_Acc,H2_MCC,H2_DirAcc,H2_Sharpe,H2_Ret
deep_cycle_arbitrage_v19_optimized_rank2,0.3879837067209776,0.008712729473836651,0.3971486761710794,1.343878737962022,1.1022535750497657,0.2861507128309572,-0.05953379613081455,0.34826883910386963,0.7092997315232734,0.49030238209355215
sector_alpha_v19_optimized_rank2,0.4149797570850202,-0.021870139084784045,0.4180161943319838,1.3329241355503556,0.18992700078025626,0.19331983805668015,0.0163497524210612,0.6072874493927125,0.9044569913379362,0.6917115536398308
deep_cycle_arbitrage_v19_optimized_rank5,0.46334012219959264,-0.005717305922947406,0.594704684317719,1.0738803182326289,0.852123496817804,0.41140529531568226,-0.036315362747443104,0.664969450101833,0.9789755004864927,0.7695652074053523
real_economy_rotator_v19_optimized_rank2,0.3876518218623482,0.01831586589087599,0.4018218623481781,1.045055383453622,0.702349150527185,0.2540485829959514,0.028764255702966375,0.6072874493927125,0.7460948977061372,0.5293431243604976
deep_cycle_arbitrage_v19_optimized_rank4,0.4226069246435845,0.01097248181545002,0.445010183299389,0.8917164556301365,0.6666831751117461,0.3329938900203666,0.00546698877406038,0.664969450101833,0.8027094477462916,0.5824014210359871
industrial_sniper_v19_optimized_rank3,0.33704453441295545,-0.051189101028464655,0.5657894736842105,0.8187853951859178,0.38714183101819666,0.21862348178137653,-0.023501675425753578,0.569838056680162,0.6127247164275845,0.4034780342880273
deep_cycle_arbitrage_v19_optimized_rank1,0.3859470468431772,0.030028868232572444,0.3981670061099796,0.756565085648757,0.39395245477689267,0.2983706720977597,0.01864426253568306,0.664969450101833,0.8027104049816051,0.5824020384713762
deep_cycle_arbitrage_v19_optimized_rank3,0.4195519348268839,-0.031508739595465185,0.5794297352342159,0.7344288967999343,0.5048779061897595,0.40224032586558045,-0.010590495943676387,0.5560081466395111,0.8027098503804586,0.5824016032313128
real_economy_rotator_v19_optimized_rank4,0.3785425101214575,0.0033361308993676278,0.3977732793522267,0.703881080340007,0.4753925162282533,0.28441295546558704,0.014612958571405224,0.49291497975708504,0.8213195391921468,0.6044712508686345
sector_alpha_v19_optimized_rank3,0.4255533199195171,0.041362273968608705,0.5412474849094567,0.5180466331078755,0.25236203912385813,0.2977867203219316,0.03532673744253381,0.6016096579476862,0.5298666888213305,0.30424882164983935
real_economy_rotator_v19_optimized_rank3,0.3775303643724696,0.03945013075051833,0.4534412955465587,0.5162924540816264,0.16990983603657428,0.2257085020242915,0.06995581688697695,0.5921052631578947,0.6595936172125897,0.44732735712056937
industrial_sniper_v19_optimized_rank5,0.39068825910931176,0.018732934242015168,0.39878542510121456,0.4548500891342757,0.1796960959979932,0.22874493927125505,0.030767925858171244,0.4797570850202429,0.8213189946730386,0.6044706424639887
industrial_sniper_v19_optimized_rank2,0.37044534412955465,-0.016543668039533044,0.5728744939271255,0.43334905019236825,0.15996268840201378,0.25,0.09237295413351695,0.6508097165991903,0.7902785125693763,0.5730423726679688
real_economy_rotator_v19_optimized_rank5,0.403420523138833,0.07779746072585833,0.5694164989939637,0.3763970783470875,0.1586225543508497,0.31388329979879276,0.0632675072298657,0.5311871227364185,0.2876229723638251,0.13089327161184494
sector_alpha_v19_optimized_rank1,0.5182186234817814,-0.005310048538060255,0.5222672064777328,0.30694653856997506,0.023119602027443786,0.10526315789473684,-0.014898794577737063,0.5111336032388664,0.8213194000816524,0.6044713577122174
real_economy_rotator_v19_optimized_rank1,0.39152371342078707,0.0420866344795035,0.5832492431886983,0.26255659185205665,0.11995993446654984,0.2956609485368315,-0.006095198000127054,0.4883955600403633,0.22325569547425844,0.09499113308835683
industrial_sniper_v19_optimized_rank1,0.37955465587044535,0.018014555934139167,0.5607287449392713,0.15560134516136362,0.04609643815932829,0.23279352226720648,0.019647131206182816,0.6427125506072875,1.1254732217487402,0.916797084367432
sector_alpha_v19_optimized_rank4,0.5630676084762866,0.0,0.5338042381432896,0.0,0.0,0.14934409687184663,-0.030067635499821832,0.5307769929364279,0.3095567236815345,0.1536284344775336
industrial_sniper_v19_optimized_rank4,0.402834008097166,0.0858369041638402,0.5607287449392713,-0.004014034244786531,-0.04278592443868734,0.2236842105263158,-0.027832732284874654,0.5587044534412956,0.23307481396593657,0.10017665052131264
sector_alpha_v19_optimized_rank5,0.44129554655870445,-0.06960333766477551,0.5445344129554656,-0.6998585723289187,-0.15273403503652816,0.32186234817813764,-0.028393349699079935,0.541497975708502,0.5913074607760453,0.3073580808321945
