Model,H1_Acc,H1_MCC,H1_DirAcc,H1_Sharpe,H1_Ret,H2_Acc,H2_MCC,H2_DirAcc,H2_Sharpe,H2_Ret
deep_cycle_arbitrage_v18_optimized_rank3,0.29547844374342797,0.05916468551399423,0.6046267087276551,0.32340577011054084,0.15844682575901525,0.25236593059936907,-0.06091000033284256,0.5036803364879074,0.46708443573285674,0.2691331132841299
industrial_sniper_v18_optimized_rank2,0.5383838383838384,0.045139930827345236,0.5505050505050505,0.26166046458956776,0.06685357494256805,0.25656565656565655,-0.008109004015785242,0.5666666666666667,0.623141203775451,0.37770673294230117
industrial_sniper_v18_optimized_rank1,0.5868686868686869,0.04555068402572774,0.5777777777777777,0.18892906440542254,0.0427343853774087,0.2606060606060606,0.03079471741182214,0.6313131313131313,0.7117725043368875,0.46867220476370086
real_economy_rotator_v18_optimized_rank3,0.5105953582240161,0.08319130521112994,0.5196770938446014,0.04843482610861304,-0.00594423251859455,0.33097880928355194,0.07100725214215102,0.5388496468213926,0.5183544835835922,0.29455067140183266
deep_cycle_arbitrage_v18_optimized_rank2,0.3070452155625657,0.10963257295611885,0.6603575184016824,-0.06448433237778159,-0.07989073991106099,0.24185068349106204,-0.012548959046493273,0.5993690851735016,0.4658522862639308,0.2693736653977927
sector_alpha_v18_optimized_rank1,0.5692464358452138,0.04445824950749861,0.5845213849287169,-0.10475825511808663,-0.038874098506407884,0.18737270875763748,-0.07975124006067684,0.5845213849287169,0.555527283468406,0.3425523335556555
real_economy_rotator_v18_optimized_rank1,0.5671039354187689,0.07069571391102061,0.42078708375378404,-0.1197021397968322,-0.047788830378933,0.19677093844601412,-0.005556531334979331,0.5368314833501514,0.5158352381906226,0.3119774518741487
sector_alpha_v18_optimized_rank3,0.4185336048879837,-0.021926562720992776,0.5234215885947047,-0.26529848450117915,-0.10207167730610045,0.1680244399185336,0.05754858789931141,0.45824847250509165,-0.1121367402229828,-0.11594247206688035
industrial_sniper_v18_optimized_rank3,0.5595959595959596,0.015144177793045624,0.5848484848484848,-0.28679789505253306,-0.07698317649575126,0.15757575757575756,-0.048011156004450925,0.5797979797979798,0.7844139964123432,0.5615572987630146
deep_cycle_arbitrage_v18_optimized_rank1,0.35856992639327023,0.02795853345851402,0.5741324921135647,-0.2875818017939544,-0.19077492981680233,0.26393270241850686,-0.0895910995904249,0.4868559411146162,-0.30596895807396723,-0.20939402356789227
sector_alpha_v18_optimized_rank2,0.41446028513238287,-0.005919064827266528,0.4908350305498982,-0.6681454140525608,-0.24058339211763757,0.29022403258655805,0.02538150606302033,0.5509164969450102,-0.08336684185558671,-0.08695065045602235
real_economy_rotator_v18_optimized_rank2,0.5227043390514632,-0.012457614971512192,0.5237134207870837,-0.9729616217220958,-0.2751163905979642,0.27648839556004035,-0.03739614635632946,0.5307769929364279,-0.1191749257995239,-0.10768448159146704
